Wall time,Step,Value
1555603774.2864807,6012672,-17.610984802246094
1555605940.3469896,6072704,-17.998380661010742
1555608098.1621425,6132736,-18.651477813720703
1555610318.7636986,6192768,-19.278472900390625
1555612832.480714,6252800,-19.689674377441406
1555615387.1438217,6312832,-20.217182159423828
1555617934.2973404,6372864,-20.775442123413086
1555620473.652356,6432896,-21.473434448242188
1555623034.6431286,6492928,-22.137983322143555
1555625274.6372385,6552960,-22.48371124267578
1555627191.367974,6600128,-22.89816665649414
1555629111.7247434,6640128,-20.51535987854004
1555631028.5506399,6680128,-21.867544174194336
1555632951.1198528,6720128,-22.26045799255371
1555634875.101814,6760128,-22.961334228515625
1555636799.481396,6800128,-23.699819564819336
1555638724.1734898,6840128,-23.99755859375
1555640648.6964364,6880128,-24.53204917907715
1555642688.6336753,6920128,-25.158000946044922
1555645005.548536,6960128,-25.860477447509766
1555647361.4669182,7000128,-26.544475555419922
1555649792.2925026,7040128,-27.304521560668945
1555652240.6808972,7080128,-27.609786987304688
1555654699.8740027,7120128,-28.63751792907715
1555657155.8780136,7160128,-29.465866088867188
1555659605.1558917,7200128,-30.389177322387695
1555662015.0942807,7240128,-31.04209327697754
1555664397.0751705,7280128,-31.62412452697754
1555666780.0129228,7320128,-32.01923751831055
1555669182.5479639,7360128,-32.391510009765625
1555671524.9976892,7400128,-33.13215637207031
1555673919.412906,7440128,-33.822845458984375
1555676331.0610032,7480128,-33.994510650634766
1555678729.3319142,7520128,-34.68661117553711
1555681126.0794444,7560128,-35.12385177612305
1555683519.9881968,7600128,-35.41830062866211
1555685916.5914292,7640128,-35.91804504394531
1555688281.0129514,7680128,-36.749427795410156
1555690670.2530174,7720128,-37.42793273925781
1555693080.3154361,7760128,-37.67229461669922
1555695575.5167706,7800128,-38.264991760253906
1555697053.3308747,7820160,-35.338871002197266
1555698403.8282583,7840192,-36.573062896728516
1555699752.7981095,7860224,-36.8127326965332
1555701104.3598166,7880256,-37.295684814453125
1555702454.0842311,7900288,-37.594173431396484
1555703805.780425,7920320,-38.078224182128906
1555705157.6742363,7940352,-38.635372161865234
1555706507.1477985,7960384,-37.86025619506836
1555707857.9459379,7980416,-39.6414909362793
1555709207.6448908,8000448,-39.31397247314453
1555710692.5915534,8020480,-39.13555908203125
1555712265.4609218,8040512,-39.52661895751953
1555713767.7628288,8060544,-40.22077941894531
1555715239.6274936,8080576,-40.904788970947266
1555716710.792523,8100608,-40.396244049072266
1555718184.4746826,8120640,-41.57379150390625
1555719661.5045817,8140672,-41.114906311035156
1555721139.9935977,8160704,-40.967044830322266
1555722617.5526557,8180736,-42.7227897644043
1555724077.060506,8200768,-42.28886795043945
1555725534.2341554,8220800,-42.409793853759766
1555726989.873217,8240832,-43.97251892089844
1555728453.1718178,8260864,-44.24769592285156
1555729912.804768,8280896,-44.37736129760742
1555731381.7992914,8300928,-44.186622619628906
1555732844.722398,8320960,-44.01191711425781
1555734309.6519377,8340992,-44.16790008544922
1555735778.8103616,8361024,-45.38237380981445
1555737240.5183094,8381056,-45.295719146728516
1555738726.8121119,8401088,-44.86332702636719
1555740162.8989227,8421120,-46.41028594970703
1555741581.8592882,8441152,-46.73739242553711
1555742998.539458,8461184,-45.299400329589844
1555744412.9267697,8481216,-47.19203567504883
1555745842.9981318,8501248,-46.72685623168945
1555747288.3050568,8521280,-46.5483512878418
1555748737.6536849,8541312,-47.63140869140625
1555750182.4591804,8561344,-47.1334228515625
1555751615.327544,8581376,-47.11015319824219
1555753047.0829258,8601408,-49.414878845214844
1555754464.9382317,8621440,-47.7415657043457
1555755872.8210752,8641472,-49.50338363647461
1555757279.1090033,8661504,-48.38094711303711
1555758681.1733048,8681536,-49.32015609741211
1555760096.7954373,8701568,-49.043697357177734
1555761502.100683,8721600,-49.64244842529297
